#{"t_start": 1743315582.1523337, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
34.390751,250,64.557039,-0.31683958222045977,0.0011223030695171198,-0.07348572,0.98,0.2,0.79680336,False,False
2239.673378,250,67.477397,-2.4282493467541104,0.01214040328684138,0.6449044,0.05,0.8972991,0.46564406,True,False
2393.822922,250,70.336129,15.227817119699251,0.3047482925526854,1.2016098,0.05,0.99,0.29705828,False,False
23.372699,250,73.15344,-0.07201538132945937,0.0017665440453449406,-0.034983084,0.98,0.2,0.4962359,False,False
934.215527,250,75.922423,2.097026868116329,0.05395830498122116,1.0547887,0.06876996,0.99,0.5816917,False,False
1112.390594,250,79.003307,3.58738830133865,0.0723340448411484,0.9732946,0.05,0.99,0.21504432,False,False
50.310069,250,81.979517,-0.16846218261817342,0.000947436372498821,-0.072545156,0.98,0.2,0.596894,False,False
93.766702,250,85.17416,-0.3936814948833785,3.282062308629034e-05,-0.033536986,0.98,0.2,0.49700102,False,False
-5.101833,250,170.452143,-0.06137819542793217,0.001998473306435787,-0.07210614,0.98,0.2,0.49700853,False,False
1158.510894,250,174.074919,6.379309100834903,0.13016249813076608,1.1258452,0.065833345,0.99,0.66330826,False,False
16.631599,250,177.620075,-2.5165881262746104,0.002087332889682756,-0.033894673,0.98,0.2,0.394999,True,False
785.421603,250,180.991885,-0.28641917853216114,0.0027230824193040957,-0.015545979,0.98,0.2,0.39700255,False,False
20.21507,250,184.539755,-0.2881987820955074,0.002283972602601932,-0.03950511,0.98,0.2,0.09702999,False,False
255.269401,250,188.107106,-2.6017998406455254,0.0011903698667579193,-0.048289597,0.98,0.2,0.49702176,True,False
929.520136,250,191.945562,3.4718263704760335,0.08259271915670924,1.1580458,0.07869768,0.99,0.7462016,False,False
199.811552,250,195.669095,-0.20814938617750223,0.001100455757180012,-0.07354802,0.98,0.2,0.6854133,False,False
2131.567128,250,279.642263,8.848863439869492,0.17710949652229216,1.2025204,0.05,0.99,0.28855714,False,False
190.26327,250,282.890359,-0.40246734512352383,0.003651169093747251,-0.048626512,0.98,0.2,0.69618577,False,False
67.867102,250,286.167179,-0.3121962265546481,0.0012076033359262137,-0.04114546,0.98,0.2,0.39700633,False,False
1425.212641,250,289.691205,5.244049047575884,0.11655358582112178,1.1929938,0.05,0.99,0.5688149,False,False
67.500628,250,292.781539,-0.8743904637392711,3.100230051580325e-05,-0.07764974,0.98,0.2,0.19701341,False,False
1738.894081,250,296.00317,3.0403621830188117,0.0668483238330342,1.1603069,0.05,0.99,0.17182633,False,False
104.047582,250,299.386041,-0.04502237512641673,0.0010933069230420341,-0.06505337,0.98,0.2,0.29658094,False,False
1695.586046,250,303.166043,2.6914952800179788,0.05731507836710467,1.0496416,0.05,0.99,0.48785162,False,False
